SEXO,IDADE,RACA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,RENDA_FAMILIAR,BOLSA_ESTUDANTIL,INTERCAMBIO,TRABALHO_DURANTE_GRAD,COTAS,PERMANENCIA_PROLONGADA
M,18.0,A,F,E,E,A,B,D,A,0
M,19.0,C,D,D,D,A,A,E,A,1
M,19.0,C,D,E,D,D,A,A,E,0
M,19.0,A,E,D,G,A,A,E,A,0
M,18.0,A,E,E,F,A,A,B,A,0
M,21.0,A,D,D,F,A,F,E,A,1
M,18.0,A,F,D,D,A,B,D,A,0
M,18.0,A,E,E,G,A,A,D,A,0
M,19.0,A,F,D,G,A,A,E,A,1
M,20.0,C,D,D,C,A,A,A,A,1
M,18.0,A,E,F,D,A,B,D,A,0
M,18.0,A,E,D,F,A,A,D,A,0
M,21.0,A,E,E,E,A,B,A,A,0
M,19.0,A,C,D,D,A,A,A,A,0
M,18.0,A,E,E,E,A,A,E,A,1
M,18.0,A,D,E,D,A,A,D,A,1
M,18.0,A,E,F,G,A,F,D,A,1
M,18.0,A,F,E,F,A,A,D,A,0
M,20.0,A,E,E,F,A,F,A,A,1
M,18.0,A,E,D,D,A,A,D,A,1
M,21.0,D,E,E,E,A,A,A,A,1
M,20.0,A,E,E,E,A,A,A,A,1
M,20.0,A,E,D,F,A,A,E,A,1
M,18.0,A,F,F,F,A,E,A,A,0
M,19.0,C,D,D,E,C,E,C,A,0
M,21.0,A,D,C,E,A,A,B,A,1
M,19.0,A,F,D,D,A,B,A,D,0
M,20.0,D,E,E,F,A,A,D,A,0
F,20.0,A,D,C,C,A,A,D,A,1
M,18.0,A,E,F,E,A,F,D,A,0
M,18.0,A,E,E,F,A,A,A,A,0
M,20.0,A,E,E,E,A,A,A,A,0
M,21.0,A,C,E,E,A,F,E,A,1
M,21.0,A,E,E,F,A,A,E,A,1
M,18.0,A,B,C,B,A,A,D,A,0
M,20.0,A,D,D,B,E,A,B,A,0
M,23.0,A,D,D,C,A,A,A,A,0
M,17.0,A,D,C,C,F,A,A,A,0
M,18.0,A,C,D,C,A,A,A,A,0
M,18.0,A,E,C,D,A,A,A,A,0
M,18.0,A,D,D,E,C,A,A,A,0
M,18.0,A,D,D,D,A,A,A,A,1
M,20.0,A,D,E,B,C,A,A,A,0
F,18.0,C,B,D,E,C,A,D,A,0
F,17.0,A,E,D,D,F,A,A,A,0
M,18.0,A,F,E,E,A,B,A,A,0
F,21.0,B,F,D,E,A,E,D,A,0
M,18.0,A,D,C,B,F,B,D,A,0
M,19.0,A,C,E,E,A,A,D,A,1
M,20.0,A,D,D,D,C,B,A,A,0
M,18.0,A,D,D,E,A,B,D,A,0
M,19.0,A,D,E,F,A,C,A,A,0
F,21.0,A,E,E,F,A,A,A,A,1
M,30.0,A,E,D,F,A,A,D,A,0
M,23.0,A,C,F,A,D,A,C,A,1
M,19.0,A,E,D,F,A,C,E,A,0
M,18.0,D,E,E,F,A,B,A,A,0
M,19.0,A,E,D,E,C,A,D,A,0
M,20.0,A,B,B,B,D,B,D,D,0
M,19.0,A,E,D,G,A,F,A,A,0
M,38.0,A,E,F,E,A,A,D,A,0
M,18.0,A,E,D,F,A,F,E,A,0
M,19.0,A,E,E,E,A,A,A,A,0
M,20.0,A,F,F,G,A,F,D,A,0
M,19.0,A,E,E,F,A,B,A,A,0
M,18.0,A,F,E,C,A,A,E,A,1
M,18.0,A,B,C,D,F,C,B,A,1
M,18.0,D,E,D,F,A,A,A,A,0
M,18.0,A,D,D,F,A,A,B,A,0
M,19.0,A,C,D,E,A,A,A,A,0
F,18.0,A,F,F,F,A,C,A,A,0
M,19.0,B,D,B,F,A,A,E,A,1
M,19.0,A,E,D,F,A,A,D,A,1
M,18.0,A,E,E,C,A,A,D,A,0
M,19.0,C,E,F,F,A,C,A,A,0
M,19.0,D,F,F,F,A,A,A,A,0
M,18.0,A,D,D,E,A,A,D,A,0
M,19.0,A,F,E,F,A,B,D,A,0
M,19.0,A,D,E,G,A,A,A,A,0
M,18.0,A,E,F,E,A,A,C,A,0
M,18.0,A,F,E,E,A,E,A,A,1
F,18.0,D,E,F,F,A,D,A,A,0
M,22.0,C,D,E,B,A,A,A,D,1
M,19.0,D,E,E,G,A,A,B,D,0
M,19.0,E,E,E,D,A,A,A,A,0
M,18.0,C,E,E,F,F,B,C,D,0
