ANO_PROVA,ANO_ENTRADA,SEXO,IDADE,RACA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,RENDA_FAMILIAR,AUXILIO_ESTUDANTIL,BOLSA_ESTUDANTIL,INTERCAMBIO,TRABALHO_DURANTE_GRAD,COTAS,ENSINO_MEDIO,PRINCIPAL_MOTIVACAO,DURACAO_PERMANENCIA,PERMANENCIA_PROLONGADA,SOLTEIRO
2014,2009.0,M,18.0,A,5,4,4,False,True,True,True,False,PRI,True,5.0,False,True
2014,2009.0,M,19.0,D,3,4,3,True,True,False,False,True,PUB,False,5.0,False,True
2014,2009.0,M,18.0,A,4,4,5,False,False,False,True,False,PRI,False,5.0,False,True
2014,2009.0,M,18.0,A,5,3,3,False,True,True,True,False,PRI,True,5.0,False,True
2014,2009.0,M,18.0,A,4,4,6,False,False,False,True,False,PRI,False,5.0,False,True
2014,2008.0,M,20.0,D,3,3,2,False,True,False,False,False,PUB,True,6.0,True,True
2014,2009.0,M,18.0,A,4,5,3,False,True,True,True,False,PRI,True,5.0,False,True
2014,2010.0,M,21.0,A,4,4,4,False,True,True,False,False,PRI,True,4.0,False,True
2014,2010.0,M,19.0,A,2,3,3,False,True,False,False,False,PRI,False,4.0,False,True
2014,2008.0,M,18.0,A,4,4,4,False,True,False,True,False,PRI,True,6.0,True,True
2014,2008.0,M,18.0,A,3,4,3,False,True,False,True,False,PRI,False,6.0,True,True
2014,2007.0,M,18.0,A,4,5,6,False,True,True,True,False,PRI,False,7.0,True,True
2014,2009.0,M,18.0,A,5,5,5,False,True,True,False,False,PRI,False,5.0,False,True
2014,2009.0,M,19.0,D,3,3,4,True,True,True,True,False,PRI,False,5.0,False,True
2014,2008.0,M,21.0,A,3,2,4,False,True,False,True,False,PUB,False,6.0,True,True
2014,2009.0,M,20.0,C,4,4,5,False,False,False,True,False,PRI,False,5.0,False,True
2014,2009.0,M,20.0,A,4,4,4,False,False,False,False,False,PRI,False,5.0,False,True
2014,2008.0,M,21.0,A,2,4,4,False,False,True,True,False,PUB,False,6.0,True,False
2014,2009.0,M,18.0,A,1,2,1,False,True,False,True,False,PUB,False,5.0,False,True
2014,2009.0,M,20.0,A,3,3,1,True,True,False,True,False,PUB,True,5.0,False,True
2014,2010.0,M,23.0,A,3,3,2,False,True,False,False,False,PUB,True,4.0,False,True
2014,2009.0,M,17.0,A,3,2,2,True,True,False,False,False,PUB,True,5.0,False,True
2014,2010.0,M,18.0,A,2,3,2,False,True,False,False,False,PRI,True,4.0,False,True
2014,2009.0,M,18.0,A,4,2,3,False,True,False,False,False,PRI,True,5.0,False,True
2014,2010.0,M,18.0,A,3,3,4,True,True,False,False,False,PUB,False,4.0,False,True
2014,2007.0,M,18.0,A,3,3,3,False,False,False,False,False,PUB,True,7.0,True,True
2014,2009.0,F,18.0,D,1,3,4,True,True,False,True,False,PUB,True,5.0,False,True
2014,2009.0,F,17.0,A,4,3,3,True,True,False,False,False,PUB,True,5.0,False,True
2014,2009.0,M,18.0,A,5,4,4,False,True,True,False,False,PRI,False,5.0,False,True
2014,2009.0,F,21.0,B,5,3,4,False,True,True,True,False,PRI,True,5.0,False,True
2014,2009.0,M,18.0,A,3,2,1,True,True,True,True,False,PRI,False,5.0,False,True
2014,2008.0,M,19.0,A,2,4,4,False,False,False,True,False,PRI,True,6.0,True,True
2014,2009.0,M,18.0,A,3,3,4,False,True,True,True,False,PRI,False,5.0,False,True
2014,2007.0,F,21.0,A,4,4,5,False,False,False,False,False,PRI,False,7.0,True,True
2014,2004.0,M,23.0,A,2,5,0,True,True,False,True,False,PUB,False,10.0,True,True
2014,2010.0,M,18.0,C,4,4,5,False,True,True,False,False,PRI,False,4.0,False,True
2014,2010.0,M,19.0,A,4,3,4,True,True,False,True,False,PRI,False,4.0,False,True
2014,2009.0,M,20.0,A,1,1,1,True,True,True,True,True,PUB,False,5.0,False,True
2014,2009.0,M,19.0,A,4,4,4,False,False,False,False,False,PRI,True,5.0,False,True
2014,2009.0,M,20.0,A,5,5,6,False,True,True,True,False,PRI,False,5.0,False,True
2014,2009.0,M,19.0,A,4,4,5,False,False,True,False,False,PRI,True,5.0,False,True
2014,2008.0,M,18.0,A,5,4,2,False,False,False,True,False,PRI,False,6.0,True,True
2014,2008.0,M,18.0,A,1,2,3,True,True,True,True,False,PRI,False,6.0,True,True
2014,2010.0,M,18.0,C,4,3,5,False,True,False,False,False,PRI,False,4.0,False,True
2014,2009.0,M,18.0,A,3,3,5,False,True,False,True,False,PRI,False,5.0,False,True
