SEXO,IDADE,RACA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,RENDA_FAMILIAR,AUXILIO_ESTUDANTIL,BOLSA_ESTUDANTIL,INTERCAMBIO,TRABALHO_DURANTE_GRAD,COTAS,ENSINO_MEDIO,PRINCIPAL_MOTIVACAO,PERMANENCIA_PROLONGADA,SOLTEIRO
M,18.0,A,5,4,4,False,True,True,True,False,PRI,True,False,True
M,19.0,D,3,4,3,True,True,False,False,True,PUB,False,False,True
M,18.0,A,4,4,5,False,False,False,True,False,PRI,False,False,True
M,18.0,A,5,3,3,False,True,True,True,False,PRI,True,False,True
M,18.0,A,4,4,6,False,False,False,True,False,PRI,False,False,True
M,20.0,D,3,3,2,False,True,False,False,False,PUB,True,True,True
M,18.0,A,4,5,3,False,True,True,True,False,PRI,True,False,True
M,21.0,A,4,4,4,False,True,True,False,False,PRI,True,False,True
M,19.0,A,2,3,3,False,True,False,False,False,PRI,False,False,True
M,18.0,A,4,4,4,False,True,False,True,False,PRI,True,True,True
M,18.0,A,3,4,3,False,True,False,True,False,PRI,False,True,True
M,18.0,A,4,5,6,False,True,True,True,False,PRI,False,True,True
M,18.0,A,5,5,5,False,True,True,False,False,PRI,False,False,True
M,19.0,D,3,3,4,True,True,True,True,False,PRI,False,False,True
M,21.0,A,3,2,4,False,True,False,True,False,PUB,False,True,True
M,20.0,C,4,4,5,False,False,False,True,False,PRI,False,False,True
M,20.0,A,4,4,4,False,False,False,False,False,PRI,False,False,True
M,21.0,A,2,4,4,False,False,True,True,False,PUB,False,True,False
M,18.0,A,1,2,1,False,True,False,True,False,PUB,False,False,True
M,20.0,A,3,3,1,True,True,False,True,False,PUB,True,False,True
M,23.0,A,3,3,2,False,True,False,False,False,PUB,True,False,True
M,17.0,A,3,2,2,True,True,False,False,False,PUB,True,False,True
M,18.0,A,2,3,2,False,True,False,False,False,PRI,True,False,True
M,18.0,A,4,2,3,False,True,False,False,False,PRI,True,False,True
M,18.0,A,3,3,4,True,True,False,False,False,PUB,False,False,True
M,18.0,A,3,3,3,False,False,False,False,False,PUB,True,True,True
F,18.0,D,1,3,4,True,True,False,True,False,PUB,True,False,True
F,17.0,A,4,3,3,True,True,False,False,False,PUB,True,False,True
M,18.0,A,5,4,4,False,True,True,False,False,PRI,False,False,True
F,21.0,B,5,3,4,False,True,True,True,False,PRI,True,False,True
M,18.0,A,3,2,1,True,True,True,True,False,PRI,False,False,True
M,19.0,A,2,4,4,False,False,False,True,False,PRI,True,True,True
M,18.0,A,3,3,4,False,True,True,True,False,PRI,False,False,True
F,21.0,A,4,4,5,False,False,False,False,False,PRI,False,True,True
M,23.0,A,2,5,0,True,True,False,True,False,PUB,False,True,True
M,18.0,C,4,4,5,False,True,True,False,False,PRI,False,False,True
M,19.0,A,4,3,4,True,True,False,True,False,PRI,False,False,True
M,20.0,A,1,1,1,True,True,True,True,True,PUB,False,False,True
M,19.0,A,4,4,4,False,False,False,False,False,PRI,True,False,True
M,20.0,A,5,5,6,False,True,True,True,False,PRI,False,False,True
M,19.0,A,4,4,5,False,False,True,False,False,PRI,True,False,True
M,18.0,A,5,4,2,False,False,False,True,False,PRI,False,True,True
M,18.0,A,1,2,3,True,True,True,True,False,PRI,False,True,True
M,18.0,C,4,3,5,False,True,False,False,False,PRI,False,False,True
M,18.0,A,3,3,5,False,True,False,True,False,PRI,False,False,True
F,18.0,A,5,5,5,False,True,True,False,False,PRI,False,False,True
M,19.0,A,4,3,5,False,False,False,True,False,PRI,False,True,True
M,19.0,D,4,5,5,False,True,True,False,False,PRI,False,False,True
M,19.0,C,5,5,5,False,True,False,False,False,PRI,True,False,True
M,18.0,A,3,3,4,False,True,False,True,False,PRI,True,False,True
M,19.0,A,3,4,6,False,False,False,False,False,PRI,True,False,True
M,18.0,A,5,4,4,False,True,True,False,False,PRI,True,True,True
F,18.0,C,4,5,5,False,True,True,False,False,PRI,True,False,True
M,19.0,C,4,4,6,False,False,False,True,True,PUB,False,False,True
M,19.0,E,4,4,3,False,True,False,False,False,PRI,False,False,True
M,18.0,D,4,4,5,True,True,True,True,True,PUB,False,False,True
M,19.0,A,4,3,6,False,True,False,False,False,PRI,True,False,True
M,19.0,C,5,3,5,False,False,False,False,True,PUB,True,False,True
M,18.0,A,4,4,5,False,True,False,True,False,PRI,False,False,True
M,18.0,A,5,5,6,False,True,True,True,True,PUB,True,False,True
M,17.0,A,3,4,3,False,False,False,False,False,PUB,True,False,True
M,18.0,A,4,5,5,False,True,True,False,False,PRI,True,False,True
M,18.0,A,4,5,5,False,False,True,False,False,PRI,True,False,True
M,18.0,A,4,4,5,False,True,True,True,False,PRI,False,False,True
M,19.0,A,3,4,3,False,True,False,False,False,PUB,True,False,True
M,19.0,A,4,4,5,False,True,True,True,False,PRI,True,False,True
M,19.0,C,4,4,6,False,False,True,False,True,PUB,False,True,True
M,19.0,A,5,5,5,False,False,True,False,False,EXT,True,False,True
M,18.0,A,4,5,1,False,True,True,False,False,PRI,True,False,True
M,18.0,C,4,4,5,False,False,False,False,False,PRI,True,False,True
M,18.0,A,4,5,4,False,True,True,True,False,PRI,True,False,True
M,19.0,D,2,3,2,True,True,True,False,True,PUB,False,False,True
M,18.0,A,3,5,4,False,True,False,False,False,PRI,True,False,True
M,21.0,D,1,1,2,True,False,True,True,True,PUB,True,False,True
M,20.0,A,4,4,5,False,False,False,False,False,PRI,False,True,True
M,18.0,A,3,3,2,False,True,True,False,False,PRI,False,False,True
M,23.0,A,3,2,3,False,True,True,False,False,PUB,True,False,True
F,19.0,A,5,4,6,False,True,False,False,False,PRI,False,False,True
M,21.0,A,4,4,5,False,True,True,False,False,PRI,True,False,True
F,18.0,D,4,4,4,False,True,False,True,False,PRI,True,False,True
M,18.0,A,3,3,1,False,False,True,False,False,PRI,True,False,True
M,19.0,A,5,4,5,False,True,True,True,False,PRI,True,False,True
M,20.0,A,4,4,4,False,False,False,False,False,PRI,True,False,True
F,18.0,A,4,4,6,False,True,True,False,False,PRI,True,False,True
M,22.0,A,1,3,5,False,False,False,True,False,PUB,True,True,True
M,27.0,C,3,4,5,False,False,False,True,False,PRI,False,False,True
M,18.0,A,4,3,5,False,True,False,False,False,PUB,True,True,True
M,17.0,A,4,3,1,False,False,False,False,False,PRI,True,True,True
M,22.0,D,3,4,5,False,True,False,True,False,PRI,True,False,True
M,19.0,D,4,5,4,False,True,False,False,False,PRI,False,True,True
M,21.0,D,4,5,3,False,True,False,True,False,PRI,False,True,False
F,19.0,A,4,4,2,False,False,False,True,False,EXT,True,True,True
M,17.0,D,3,3,2,False,True,False,False,True,PUB,True,False,True
